Date/Time,SHOEBOX:Zone Air Temperature [C](Hourly),PURCHASED AIR:Zone Ideal Loads Supply Air Total Heating Energy [J](Hourly),PURCHASED AIR:Zone Ideal Loads Supply Air Total Cooling Energy [J](Hourly),PEOPLE_COMFORT:Zone Thermal Comfort Fanger Model PPD [%](Hourly) 
 08/05  09:00:00,24.078048870139456,0.0,0.0,7.879885907998094 
 08/05  10:00:00,25.122361388644909,0.0,0.0,12.624711399569597 
 08/05  11:00:00,25.921697076191437,140095.39328363655,469823.1936540702,19.895087141813336 
 08/05  12:00:00,25.999999999999614,142922.26525279575,1263683.6359404699,26.18212271831669 
 08/05  13:00:00,26.0,89826.72431001778,1850806.810269359,30.931039343712553 
 08/05  14:00:00,26.0,81376.83034856503,2065769.3604300658,32.4594224728531 
 08/05  15:00:00,26.0,79038.80755334055,2344218.0674777559,34.54028058052447 
 08/05  16:00:00,26.0,78069.72173407884,2648911.907587679,36.93228732479914 
 08/05  17:00:00,26.0,68480.84162526699,3107833.881818069,40.95817429507686 
 08/05  18:00:00,26.0,61929.772827613255,3095406.357172143,40.7792595032956 
 08/05  19:00:00,26.0,41461.92077391126,2967537.031002929,39.82196562507528 
 08/05  20:00:00,26.0,538.4051867791186,1776940.9871354926,31.932512635614157 
 08/05  21:00:00,26.0,1352.3277747969644,1069790.9346476258,26.597280375947265 
 08/05  22:00:00,26.0,1900.1279201887656,436859.25565350046,22.914298530090929 
 08/05  23:00:00,25.99903576593462,246.277226108697,85481.44695776864,20.464162678931584 
 08/05  24:00:00,25.901324825674839,0.0,0.0,18.4755178036637 
 08/06  01:00:00,25.601018670297149,0.0,0.0,15.644946720862594 
 08/06  02:00:00,25.164293831115747,0.0,0.0,12.475601875952469 
 08/06  03:00:00,24.654857838560763,0.0,0.0,9.535096583606295 
 08/06  04:00:00,24.090788306883839,0.0,0.0,7.249435461717934 
 08/06  05:00:00,23.576650229520835,0.0,0.0,5.908825391755836 
 08/06  06:00:00,23.129177758276385,0.0,0.0,5.244653905277474 
 08/06  07:00:00,22.993800356930355,0.0,0.0,5.1942986158639219 
 08/06  08:00:00,23.382273641325843,0.0,0.0,6.122119418910498 
 08/06  09:00:00,24.382455793811748,0.0,0.0,10.360173751852033 
 08/06  10:00:00,25.551069472904176,0.0,0.0,17.43721879900165 
 08/06  11:00:00,25.999933423137127,29468.50855034949,855965.9239573361,24.293243258469926 
 08/06  12:00:00,26.0,0.0,1431993.6601115235,28.56695272055776 
 08/06  13:00:00,26.0,0.0,2156800.357284522,33.56335379815494 
 08/06  14:00:00,26.0,0.0,2434913.0238968406,35.2840641947468 
 08/06  15:00:00,26.0,0.0,2900644.660639677,38.57332042807403 
 08/06  16:00:00,26.0,0.0,3198698.780262042,41.10928883857775 
 08/06  17:00:00,26.0,0.0,3066820.1675155276,40.20617778067603 
 08/06  18:00:00,26.0,0.0,2721557.209209571,37.459144120114398 
 08/06  19:00:00,26.0,0.0,1988774.6020223143,31.971420194327476 
 08/06  20:00:00,26.0,0.0,1138672.4812324176,27.232917864022097 
 08/06  21:00:00,26.0,0.0,750594.91269294,24.58976238585399 
 08/06  22:00:00,26.0,0.0,342897.88365185059,22.709674165951328 
 08/06  23:00:00,26.0,0.0,185908.82009131323,21.527662994131576 
 08/06  24:00:00,26.0,0.0,82863.96797604618,20.774999378004499 
 08/07  01:00:00,25.975855574417893,0.0,1740.2357691368468,19.760660165795394 
 08/07  02:00:00,25.81643134809777,0.0,0.0,17.972323425550738 
 08/07  03:00:00,25.525968140136745,0.0,0.0,15.372554510489458 
 08/07  04:00:00,25.136045142327096,0.0,0.0,12.656844905232097 
 08/07  05:00:00,24.759165744372465,0.0,0.0,10.524441551208396 
 08/07  06:00:00,24.444217335039068,0.0,0.0,9.31503942440884 
 08/07  07:00:00,24.79079824860833,0.0,0.0,12.464759120409403 
 08/07  08:00:00,25.599420720050245,0.0,0.0,17.524573566695705 
 08/07  09:00:00,25.99478044927373,83288.0897286051,700875.2959842488,23.158795800870178 
 08/07  10:00:00,26.0,72305.07392284248,1046098.4737419842,25.626661065588747 
 08/07  11:00:00,26.0,31408.012996089416,1398718.3305023034,28.38459375458938 
 08/07  12:00:00,26.0,7970.366087666071,1596740.2523260259,29.94492228188945 
 08/07  13:00:00,26.0,21803.77520916618,1852314.224399475,31.763707897170666 
 08/07  14:00:00,26.0,28723.084437225247,1891876.206943787,31.983924532479347 
 08/07  15:00:00,26.0,74824.21360068931,2103480.9448089918,33.362609466941488 
 08/07  16:00:00,26.0,108330.15324188586,2524178.734547818,36.592813919163628 
 08/07  17:00:00,26.0,155388.18228365994,2575901.4412302377,36.86255726846135 
 08/07  18:00:00,26.0,189688.23358056116,2526964.610258618,36.30955604036194 
 08/07  19:00:00,26.0,173118.64274312353,1916692.9859061756,31.45063424937618 
 08/07  20:00:00,26.0,70588.42667869505,673171.3952884282,23.213906601012025 
 08/07  21:00:00,25.956716086600438,2966.499259746567,22782.639934135655,17.8217456841342 
 08/07  22:00:00,25.55129414577384,0.0,0.0,13.59145825530331 
 08/07  23:00:00,24.946670618477,0.0,0.0,9.95478450061234 
 08/07  24:00:00,24.30803694586744,0.0,0.0,7.250314375475078 
 08/08  01:00:00,23.655101555739923,0.0,0.0,5.61458626546784 
 08/08  02:00:00,23.034825562865419,0.0,0.0,5.041106882619114 
